#,Thermostat,identifier,531605445508
#,Thermostat,name,Pool House Thermostat
#,Start,date,2026-03-05
#,End,date,2026-03-12

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Thermostat AirQualityAccuracy,Thermostat AirQuality,Thermostat VOCppm,Thermostat CO2ppm,Thermostat AirPressure,Pool House Back Bed (F),Pool House Back Bed2
2026-03-05,00:00:00,auto,compressorCoolOff,auto,Sleep,71,67,70.7,63,74.5,0,75,0,75,1.1,72.3,63,0,3,336,335979,3370,102072,71.5,0,
2026-03-05,00:05:00,auto,compressorCoolStage1On,auto,Sleep,71,67,70.7,62,74.5,0,225,0,270,1.1,72.3,62,0,3,337,339463,3374,102072,71.6,0,
2026-03-05,00:10:00,auto,compressorCoolOff,auto,Sleep,71,67,70.4,63,74.5,0,0,0,0,0.9,72,63,0,3,341,373228,3416,102073,70.8,0,
2026-03-05,00:15:00,auto,compressorCoolOff,auto,Sleep,71,67,70.4,64,74.5,0,0,0,0,0.8,72,64,0,3,337,341177,3377,102073,70.7,0,
2026-03-05,00:20:00,auto,compressorCoolOff,auto,Sleep,71,67,70.7,65,74.5,0,75,0,75,0.8,72.1,65,0,3,334,317298,3345,102072,71.1,0,
2026-03-05,00:25:00,auto,compressorCoolStage1On,auto,Sleep,71,67,70.6,64,74.5,0,225,0,270,1,72,64,0,3,332,307401,3331,102075,71.2,0,
2026-03-05,00:30:00,auto,compressorCoolOff,auto,Sleep,71,67,70.2,63,74.1,0,0,0,0,0.8,71.8,63,0,3,336,335992,3370,102072,70.3,0,
2026-03-05,00:35:00,auto,compressorCoolOff,auto,Sleep,71,67,70.3,64,74.1,0,0,0,0,0.9,71.8,64,0,3,332,304987,3327,102072,70.7,0,
2026-03-05,00:40:00,auto,compressorCoolOff,auto,Sleep,71,67,70.5,64,74.1,0,0,0,0,1,71.9,64,0,3,328,281280,3292,102076,71.1,0,
2026-03-05,00:45:00,auto,compressorCoolOff,auto,Sleep,71,67,70.9,65,74.1,0,120,0,120,0.8,72,65,0,3,325,260765,3258,102082,71.7,0,
2026-03-05,00:50:00,auto,compressorCoolStage1On,auto,Sleep,71,67,70.6,63,74.1,0,180,0,225,1.1,72,63,0,3,325,263265,3262,102083,71.5,0,
2026-03-05,00:55:00,auto,compressorCoolOff,auto,Sleep,71,67,70.3,64,74.1,0,0,0,0,0.8,71.7,64,0,3,327,273516,3279,102081,70.7,0,
2026-03-05,01:00:00,auto,compressorCoolOff,auto,Sleep,71,67,70.6,66,74.1,0,0,0,0,0.6,71.8,66,0,3,320,233680,3210,102082,70.8,0,
2026-03-05,01:05:00,auto,compressorCoolOff,auto,Sleep,71,67,70.8,66,74.1,0,0,0,0,0.7,72,66,0,3,316,214728,3173,102083,71.2,0,
2026-03-05,01:10:00,auto,compressorCoolOff,auto,Sleep,71,67,70.9,65,74.1,0,240,0,240,0.9,72.1,65,0,3,316,211237,3166,102084,71.7,0,
2026-03-05,01:15:00,auto,compressorCoolStage1On,auto,Sleep,71,67,70.5,63,74.1,0,60,0,105,0.9,72,63,0,3,320,234374,3211,102084,71,0,
2026-03-05,01:20:00,auto,compressorCoolOff,auto,Sleep,71,67,70.3,64,74.1,0,0,0,0,0.8,71.9,64,0,3,318,224767,3193,102076,70.4,0,
2026-03-05,01:25:00,auto,compressorCoolOff,auto,Sleep,71,67,70.6,66,74.1,0,0,0,0,0.6,71.9,66,0,3,314,203429,3149,102075,70.7,0,
2026-03-05,01:30:00,auto,compressorCoolOff,auto,Sleep,71,67,70.9,65,74.1,0,15,0,15,0.8,72.1,65,0,3,311,191542,3122,102079,71.3,0,
