entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.pool_house,heat_cool,2026-03-11T04:00:00.000Z,72.3,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:01:53.453Z,72.2,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:07:53.392Z,72,fan,72,66,
climate.pool_house,heat_cool,2026-03-11T04:10:53.456Z,72,idle,72,66,
climate.pool_house,heat_cool,2026-03-11T04:13:53.394Z,72.2,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:16:53.442Z,72.1,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:22:53.425Z,72,idle,72,66,
climate.pool_house,heat_cool,2026-03-11T04:25:53.409Z,72,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:28:53.449Z,72.3,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:31:53.464Z,72.2,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:34:53.461Z,72,idle,72,66,
climate.pool_house,heat_cool,2026-03-11T04:37:53.406Z,72.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T04:40:53.462Z,72.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T04:46:53.858Z,71.9,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T04:49:53.438Z,71.9,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T04:52:53.495Z,71.7,idle,72,66,
climate.pool_house,heat_cool,2026-03-11T04:55:53.451Z,71.7,idle,72,66,
climate.pool_house,heat_cool,2026-03-11T04:58:53.426Z,72.4,cooling,72,66,
climate.pool_house,heat_cool,2026-03-11T05:01:53.469Z,72.4,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T05:04:53.466Z,72.2,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:10:53.482Z,72.5,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:13:53.544Z,72.9,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:16:53.583Z,73.2,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T05:19:53.493Z,73,fan,73,66,
climate.pool_house,heat_cool,2026-03-11T05:22:53.503Z,72.7,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:25:53.472Z,73,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:28:53.459Z,73.2,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T05:31:53.527Z,72.7,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:34:53.472Z,72.6,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:40:53.508Z,72.7,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:43:53.483Z,73.2,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:46:53.903Z,73.6,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T05:49:53.543Z,73.6,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T05:52:53.511Z,73.3,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T05:55:53.512Z,72.9,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T05:58:53.514Z,72.6,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T06:01:53.499Z,73,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T06:04:53.464Z,73.5,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T06:07:53.532Z,73.5,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T06:10:53.571Z,73,fan,73,66,
climate.pool_house,heat_cool,2026-03-11T06:13:53.523Z,72.1,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T06:16:53.493Z,72.4,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:19:53.508Z,72.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:22:53.547Z,71.9,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:25:53.575Z,71.6,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:28:53.558Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:31:53.522Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:34:53.510Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T06:37:53.520Z,71.1,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T06:40:53.562Z,71.3,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T06:43:53.567Z,71.6,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:49:53.555Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T06:55:53.566Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T06:58:53.598Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:01:53.548Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:04:53.568Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:07:53.590Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:10:53.579Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:13:53.574Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:16:53.543Z,71,fan,71,66,
climate.pool_house,heat_cool,2026-03-11T07:19:53.597Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:22:53.602Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:25:53.619Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:31:53.615Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:34:53.602Z,70.7,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:40:53.604Z,70.8,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:43:53.643Z,71.5,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:49:53.616Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:52:53.578Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T07:55:53.611Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T07:58:53.584Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:01:53.572Z,71.4,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:04:53.591Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:07:53.616Z,70.8,fan,71,66,
climate.pool_house,heat_cool,2026-03-11T08:10:53.588Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:13:53.598Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:16:53.606Z,71.5,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:19:53.650Z,70.7,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:22:53.677Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:25:53.605Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:31:53.600Z,70.9,fan,71,66,
climate.pool_house,heat_cool,2026-03-11T08:34:53.609Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:37:53.663Z,70.6,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:40:53.638Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:46:54.065Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:49:53.649Z,71.4,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:52:53.680Z,71.2,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T08:55:53.695Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T08:58:53.683Z,70.4,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:01:53.684Z,70.7,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:04:53.659Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:07:53.739Z,71.1,cooling,73,66,
climate.pool_house,heat_cool,2026-03-11T09:10:53.669Z,70.9,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:13:53.661Z,70.8,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:19:53.664Z,71,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:22:53.693Z,71.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:25:53.698Z,71.4,idle,73,66,
climate.pool_house,heat_cool,2026-03-11T09:28:53.654Z,71.8,idle,70,66,
climate.pool_house,heat_cool,2026-03-11T09:31:53.689Z,71.8,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:34:53.722Z,71.6,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:37:53.738Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:40:53.679Z,70.9,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:43:53.716Z,70.8,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:46:54.045Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:49:53.715Z,71.3,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:52:53.679Z,71.1,cooling,71,66,
climate.pool_house,heat_cool,2026-03-11T09:55:53.716Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T09:58:53.735Z,71,idle,71,66,
climate.pool_house,heat_cool,2026-03-11T10:01:53.709Z,71.1,cooling,71,66,
